"","OCC","MET2013","YEAR","MULTYEAR","SAMPLE","SERIAL","HHWT","DENSITY","MET2013ERR","METPOP10","OWNERSHP","OWNERSHPD","HHINCOME","PERWT","SEX","AGE","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","INCTOT","SEI","Metro","Occupation"
"7894847",940,45940,2022,2019,202203,3925329,15,1572.5,1,366513,1,13,822123,15,1,56,4,400,0,0,11,114,62,6200,0,0,822123,68,"Trenton, NJ","Tax preparers"
"11359399",4230,0,2022,2019,202203,5718932,19,78.4,0,25417,1,12,58100,19,1,62,1,100,0,0,6,63,0,0,0,0,17912,10,"Not in identifiable area","Maids and housekeeping cleaners"
"14470083",7700,40140,2022,2019,202203,598159,10,2902.9,1,4224851,2,22,114822,13,2,27,1,100,1,100,6,63,0,0,0,0,22964,49,"Riverside-San Bernardino-Ontario, CA","First-line supervisors of production and operating workers"
"5911011",0,41740,2022,2019,202203,523331,31,9047.9,1,3095313,2,22,25261,39,1,33,1,100,1,100,7,71,0,0,0,0,0,0,"San Diego-Carlsbad, CA","N/A (not applicable)"
"6992105",310,31080,2022,2019,202203,593002,13,8107,1,12828837,1,13,124007,14,1,20,1,100,1,100,7,71,0,0,0,0,19520,68,"Los Angeles-Long Beach-Anaheim, CA","Food service managers"
"13276293",5610,0,2022,2018,202203,3173910,83,175.5,0,107502,2,22,31565,83,1,29,1,100,1,100,2,26,0,0,0,0,31565,22,"Not in identifiable area","Shipping, receiving, and inventory clerks"
"5086916",0,22380,2022,2021,202203,234588,11,158.8,1,134421,2,22,75664,11,1,6,1,100,0,0,0,2,0,0,0,0,9999999,0,"Flagstaff, AZ","N/A (not applicable)"
"5088789",0,31080,2022,2020,202203,673869,13,19310.3,1,12828837,1,12,229348,12,2,46,3,360,1,100,6,63,0,0,0,0,0,0,"Los Angeles-Long Beach-Anaheim, CA","N/A (not applicable)"
"3606206",0,19100,2022,2018,202203,5850635,9,5574.4,3,6426214,1,12,43255,8,1,80,1,100,0,0,2,25,0,0,0,0,27941,0,"Dallas-Fort Worth-Arlington, TX","N/A (not applicable)"
"3607269",0,16980,2022,2021,202203,2256932,8,3168.3,2,9461105,1,12,57396,7,2,79,1,100,0,0,6,61,0,0,0,0,5296,0,"Chicago-Naperville-Elgin, IL-IN-WI","N/A (not applicable)"
"14413760",7540,0,2022,2018,202203,2090176,22,609.1,0,379186,2,22,86510,22,1,25,1,100,0,0,6,65,0,0,0,0,58453,27,"Not in identifiable area","Locksmiths and safe repairers"
"14085638",6442,0,2022,2020,202203,4299121,3,86.1,0,66583,1,12,14164,2,1,53,1,100,0,0,6,63,0,0,0,0,12465,34,"Not in identifiable area","Plumbers, pipefitters, and steamfitters"
"5170982",0,38300,2022,2021,202203,5434047,29,460.9,5,2356285,1,12,51884,23,2,88,1,100,0,0,5,50,0,0,0,0,7026,0,"Pittsburgh, PA","N/A (not applicable)"
"10849275",4030,0,2022,2022,202203,6951989,21,307.3,0,86266,1,13,145000,25,1,22,1,100,0,0,10,101,52,5200,53,5301,25000,15,"Not in identifiable area","Food preparation workers"
"9008099",2310,34940,2022,2018,202203,1405052,16,2664.6,1,321520,1,13,105215,15,1,32,1,100,0,0,11,114,23,2300,0,0,52608,72,"Naples-Immokalee-Marco Island, FL","Elementary and middle school teachers"
"3917507",0,41180,2022,2021,202203,3662029,12,3809.4,5,2787701,1,13,75880,12,2,77,1,100,0,0,6,63,0,0,0,0,9836,0,"St. Louis, MO-IL","N/A (not applicable)"
"12543334",4920,35380,2022,2019,202203,2746007,21,7641.5,1,1189866,1,13,114822,22,1,34,1,100,0,0,7,71,0,0,0,0,114822,62,"New Orleans-Metairie, LA","Real estate brokers and sales agents"
"8853542",2205,35380,2022,2018,202203,2720206,6,6437.5,1,1189866,1,12,638470,7,2,59,1,100,0,0,11,116,50,5003,0,0,453595,84,"New Orleans-Metairie, LA","Postsecondary teachers"
"5550104",0,41740,2022,2021,202203,878845,9,3404.3,1,3095313,1,12,172622,9,2,67,1,100,0,0,10,101,21,2102,0,0,82149,0,"San Diego-Carlsbad, CA","N/A (not applicable)"
"15289731",9600,19820,2022,2021,202203,3298001,34,5986.2,4,4296250,1,12,29833,33,1,56,2,200,0,0,6,63,0,0,0,0,29833,18,"Detroit-Warren-Dearborn, MI","Industrial truck and tractor operators"
"11846150",4700,35620,2022,2019,202203,4247623,37,27409.3,2,19567410,1,13,103225,36,1,67,6,669,0,0,10,101,62,6200,0,0,100354,68,"New York-Newark-Jersey City, NY-NJ-PA","First-line supervisors of retail sales workers"
"9719464",3150,25540,2022,2022,202203,1284051,11,2793,5,1212381,1,13,140000,12,2,35,1,100,0,0,11,114,61,6109,0,0,90000,58,"Hartford-West Hartford-East Hartford, CT","Occupational therapists"
"10906061",4055,31080,2022,2020,202203,760278,13,7707.9,1,12828837,1,13,97563,69,2,23,1,100,1,100,7,71,0,0,0,0,20397,11,"Los Angeles-Long Beach-Anaheim, CA","Fast food and counter workers"
"14487455",7750,45300,2022,2021,202203,1641983,30,2695.8,1,2783243,2,22,24104,30,2,35,7,700,4,428,10,101,52,5200,0,0,7891,18,"Tampa-St. Petersburg-Clearwater, FL","Other assemblers and fabricators"
"4684840",0,42220,2022,2018,202203,452665,13,443.5,1,483878,1,12,23966,13,2,77,1,100,0,0,6,63,0,0,0,0,23966,0,"Santa Rosa, CA","N/A (not applicable)"
"7109343",410,47900,2022,2022,202203,6600934,11,3367.2,4,5636232,1,13,326000,15,1,56,1,100,0,0,11,114,55,5501,0,0,250000,32,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Property, real estate, and community association managers"
"15615471",9645,34980,2022,2022,202203,5800888,12,1838.7,3,1670890,2,22,331000,11,1,36,7,700,0,0,0,2,0,0,0,0,0,44,"Nashville-Davidson--Murfreesboro--Franklin, TN","Stockers and order fillers"
"6546421",20,36420,2022,2018,202203,5037381,22,1407.9,5,1252987,1,13,103579,22,2,28,1,100,0,0,7,71,0,0,0,0,49802,68,"Oklahoma City, OK","General and operations managers"
"6762181",137,31080,2022,2018,202203,410383,18,10725.6,1,12828837,2,22,138300,24,1,20,8,883,4,498,6,63,0,0,0,0,935,18,"Los Angeles-Long Beach-Anaheim, CA","Training and development managers"
"1355039",0,0,2022,2018,202203,2094097,4,128.2,0,149329,1,12,30606,4,2,52,1,100,0,0,6,65,0,0,0,0,0,0,"Not in identifiable area","N/A (not applicable)"
"516853",0,0,2022,2019,202203,3405288,3,71.5,0,16907,1,13,175367,3,2,0,1,100,0,0,0,1,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"1899649",0,0,2022,2020,202203,1871167,38,38.1,0,65442,1,12,48725,45,1,62,2,200,0,0,6,63,0,0,0,0,13598,0,"Not in identifiable area","N/A (not applicable)"
"402549",0,0,2022,2021,202203,2262014,17,106,0,50635,1,13,113496,17,1,72,1,100,0,0,7,71,0,0,0,0,59450,0,"Not in identifiable area","N/A (not applicable)"
"10162691",3601,38300,2022,2020,202203,5368102,73,8761.4,5,2356285,1,12,88385,73,1,53,1,100,0,0,6,63,0,0,0,0,45326,13,"Pittsburgh, PA","Home health aides"
"14750500",8630,0,2022,2019,202203,6017645,24,122.2,0,29627,1,12,102191,24,1,28,1,100,1,100,6,65,0,0,0,0,102191,10,"Not in identifiable area","Miscellaneous plant and system operators"
"486780",0,38860,2022,2022,202203,2845732,89,215.1,1,514098,1,13,206870,89,1,72,1,100,0,0,11,114,24,2408,0,0,186270,0,"Portland-South Portland, ME","N/A (not applicable)"
"13309776",5720,45300,2022,2018,202203,1405578,9,3507.1,1,2783243,2,22,46762,9,2,32,1,100,0,0,8,81,0,0,0,0,46762,61,"Tampa-St. Petersburg-Clearwater, FL","Legal secretaries and administrative assistants"
"6131230",0,42660,2022,2022,202203,6764163,15,5494.7,1,3439809,1,13,80000,20,1,5,8,826,1,100,1,11,0,0,0,0,9999999,0,"Seattle-Tacoma-Bellevue, WA","N/A (not applicable)"
"15375229",9620,0,2022,2019,202203,2369697,23,118.5,0,192786,1,12,41795,22,2,70,1,100,0,0,3,30,0,0,0,0,30313,8,"Not in identifiable area","Laborers and freight, stock, and material movers, hand"
"2922657",0,35620,2022,2020,202203,3950600,16,4451.7,2,19567410,1,12,133257,16,2,71,6,610,0,0,10,101,62,6207,0,0,30708,0,"New York-Newark-Jersey City, NY-NJ-PA","N/A (not applicable)"
"13921908",6260,31080,2022,2022,202203,1074774,16,7459,1,12828837,2,22,42000,21,1,53,8,826,1,100,2,23,0,0,0,0,15000,8,"Los Angeles-Long Beach-Anaheim, CA","Construction laborers"
"10548147",3870,37100,2022,2020,202203,740206,35,572.4,1,823318,1,13,218243,35,1,37,1,100,1,100,10,101,53,5301,0,0,209631,39,"Oxnard-Thousand Oaks-Ventura, CA","Police officers"
"5950339",0,42100,2022,2022,202203,993676,4,1316.1,1,262382,1,13,27400,3,2,75,1,100,0,0,10,101,60,6000,23,2314,2400,0,"Santa Cruz-Watsonville, CA","N/A (not applicable)"
"10308477",3603,39300,2022,2021,202203,3072464,19,6313,4,1600852,2,22,23780,19,2,42,8,845,0,0,6,61,0,0,0,0,23780,13,"Providence-Warwick, RI-MA","Nursing assistants"
"9580426",2865,12060,2022,2018,202203,1787349,19,1455.2,4,5286728,1,13,278236,24,1,25,1,100,0,0,7,71,0,0,0,0,36241,31,"Atlanta-Sandy Springs-Roswell, GA","Media and communication workers, all other"
"9163693",2320,0,2022,2022,202203,2270441,4,459.8,0,83986,1,12,50000,4,2,62,1,100,0,0,10,101,23,2300,0,0,50000,72,"Not in identifiable area","Secondary school teachers"
"10507874",3870,26900,2022,2022,202203,2449791,5,683.8,1,1887877,1,12,39000,4,1,61,1,100,0,0,6,63,0,0,0,0,39000,39,"Indianapolis-Carmel-Anderson, IN","Police officers"
"8667314",2100,33140,2022,2018,202203,2328901,5,469.6,1,111467,1,13,385790,5,2,55,1,100,0,0,11,115,55,5506,0,0,233812,93,"Michigan City-La Porte, IN","Lawyers, and judges, magistrates, and other judicial workers"
"14517456",7750,25540,2022,2019,202203,1234039,8,936.1,1,1212381,2,21,224821,8,1,56,1,100,0,0,6,63,0,0,0,0,155009,18,"Hartford-West Hartford-East Hartford, CT","Other assemblers and fabricators"
"2541865",0,0,2022,2020,202203,3240386,14,439.6,0,215940,1,13,132577,14,2,9,1,100,0,0,1,16,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"7082468",350,19740,2022,2022,202203,1186079,14,3820.2,4,2543482,2,22,23900,14,2,32,1,100,0,0,10,101,52,5200,0,0,23900,46,"Denver-Aurora-Lakewood, CO","Medical and health services managers"
"9643079",3050,17460,2022,2022,202203,5010544,16,2509.5,4,2077240,1,13,353020,16,1,37,1,100,0,0,11,115,50,5003,0,0,126000,82,"Cleveland-Elyria, OH","Pharmacists"
"14942345",9005,0,2022,2020,202203,3707342,24,16.3,0,19102,1,13,154107,21,1,47,1,100,0,0,8,81,0,0,0,0,96317,68,"Not in identifiable area","Supervisors of transportation and material moving workers"
"1129274",0,0,2022,2021,202203,3442311,52,101.6,0,53708,1,12,37183,56,2,85,1,100,0,0,6,63,0,0,0,0,13619,0,"Not in identifiable area","N/A (not applicable)"
"15076811",9130,45820,2022,2020,202203,2585574,3,124.1,6,180070,1,12,52804,2,1,55,1,100,0,0,6,64,0,0,0,0,39660,15,"Topeka, KS","Driver/sales workers and truck drivers"
"1262103",0,0,2022,2020,202203,3746988,3,82.2,0,25496,1,13,145042,8,2,10,1,100,0,0,2,22,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"508070",0,0,2022,2022,202203,2309597,15,175.2,0,39848,1,12,31600,11,2,77,1,100,0,0,6,63,0,0,0,0,10200,0,"Not in identifiable area","N/A (not applicable)"
"14349137",7340,35620,2022,2021,202203,3998886,12,4038.9,2,19567410,1,13,223749,13,1,50,1,100,0,0,6,63,0,0,0,0,108091,27,"New York-Newark-Jersey City, NY-NJ-PA","Maintenance and repair workers, general"
"14143469",6825,47900,2022,2018,202203,2859033,49,4616.4,5,5636232,1,13,108723,49,1,59,7,700,4,416,3,30,0,0,0,0,58453,10,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Surface mining machine operators and earth drillers"
"4781540",0,31140,2022,2021,202203,2689316,37,275,3,1235708,1,13,131331,37,1,4,1,100,0,0,0,2,0,0,0,0,9999999,0,"Louisville/Jefferson County, KY-IN","N/A (not applicable)"
"15354720",9620,0,2022,2020,202203,5379338,7,91.8,0,55967,1,13,33994,6,1,26,1,100,0,0,6,63,0,0,0,0,33994,8,"Not in identifiable area","Laborers and freight, stock, and material movers, hand"
"194464",0,0,2022,2022,202203,105393,29,62.2,0,28053,2,22,11220,23,1,16,2,200,0,0,5,50,0,0,0,0,0,0,"Not in identifiable area","N/A (not applicable)"
"846863",0,0,2022,2021,202203,6401950,14,20.3,0,27557,1,12,533970,16,2,11,1,100,0,0,2,22,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"13417090",5740,37980,2022,2020,202203,5363555,137,2958.1,2,5965343,1,13,88385,131,2,68,1,100,0,0,6,63,0,0,0,0,9972,61,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Secretaries and administrative assistants, except legal, medical, and executive"
"2153790",0,12060,2022,2018,202203,1810771,10,191.1,4,5286728,1,13,87095,12,1,60,1,100,0,0,10,101,64,6402,0,0,16951,0,"Atlanta-Sandy Springs-Roswell, GA","N/A (not applicable)"
"11399482",4251,44060,2022,2021,202203,6738172,4,22.5,5,143490,1,13,130790,7,2,44,1,100,0,0,6,63,0,0,0,0,43236,11,"Spokane-Spokane Valley, WA","Landscaping and groundskeeping workers"
"1859230",0,10900,2022,2021,202203,3998308,6,614,1,821173,1,13,296602,6,1,14,1,100,0,0,2,26,0,0,0,0,9999999,0,"Allentown-Bethlehem-Easton, PA-NJ","N/A (not applicable)"
"13908148",6260,44180,2022,2021,202203,3642989,2,154.2,6,436712,1,12,123224,1,1,41,1,100,0,0,4,40,0,0,0,0,75664,8,"Springfield, MO","Construction laborers"
"10016925",3322,36540,2022,2020,202203,3743697,65,2966,6,865350,1,13,159773,47,2,34,1,100,0,0,10,101,51,5102,61,6105,78187,48,"Omaha-Council Bluffs, NE-IA","Diagnostic medical sonographers"
"15460124",9620,0,2022,2019,202203,3396904,6,71.5,0,16907,1,13,134353,6,1,48,1,100,0,0,6,61,0,0,0,0,65460,8,"Not in identifiable area","Laborers and freight, stock, and material movers, hand"
"11684372",4621,35620,2022,2021,202203,3969780,19,1944.3,2,19567410,2,22,57829,19,1,43,1,100,0,0,6,63,0,0,0,0,57829,52,"New York-Newark-Jersey City, NY-NJ-PA","Exercise trainers and group fitness instructors"
"659409",0,25540,2022,2019,202203,1234628,17,691.8,1,1212381,1,12,42484,17,2,89,1,100,0,0,10,101,25,2501,0,0,42484,0,"Hartford-West Hartford-East Hartford, CT","N/A (not applicable)"
"9539061",2825,33100,2022,2021,202203,1638460,15,5764.3,2,5564635,1,13,86473,12,2,24,8,812,0,0,10,101,53,5301,0,0,21618,82,"Miami-Fort Lauderdale-West Palm Beach, FL","Public relations specialists"
"9794497",3255,0,2022,2019,202203,1110359,16,46.3,0,37827,1,13,143068,20,1,28,1,100,0,0,10,101,41,4101,61,6107,74979,46,"Not in identifiable area","Registered nurses"
"9387093",2545,14460,2022,2020,202203,3046279,5,18861.2,4,4552402,1,13,205778,5,2,65,1,100,0,0,8,81,0,0,0,0,28329,65,"Boston-Cambridge-Newton, MA-NH","Teaching assistants"
"7083453",360,41860,2022,2022,202203,1077671,13,12363.6,1,4335391,2,22,129000,20,1,37,8,801,0,0,10,101,60,6007,0,0,70000,68,"San Francisco-Oakland-Hayward, CA","Natural sciences managers"
"231426",0,0,2022,2022,202203,2547961,47,88.3,0,16801,2,22,88300,39,2,3,8,802,0,0,0,2,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"9285728",2435,15380,2022,2020,202203,4318364,5,605.9,1,1135509,1,13,92918,7,2,30,1,100,0,0,11,114,33,3301,0,0,44192,60,"Buffalo-Cheektowaga-Niagara Falls, NY","Librarians and media collections specialists"
"3837534",0,31080,2022,2022,202203,980937,17,10067.7,1,12828837,1,13,1374000,24,1,12,4,400,0,0,2,23,0,0,0,0,9999999,0,"Los Angeles-Long Beach-Anaheim, CA","N/A (not applicable)"
"11875332",4700,34820,2022,2018,202203,5555926,17,250.5,1,376722,1,13,53777,17,2,59,1,100,0,0,6,63,0,0,0,0,43957,68,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","First-line supervisors of retail sales workers"
"6398447",10,14460,2022,2021,202203,3090934,13,1091.2,4,2695869,1,13,229207,13,1,40,1,100,0,0,11,114,61,6109,52,5200,99444,68,"Boston-Cambridge-Newton, MA-NH","Chief executives and legislators"
"1445201",0,29460,2022,2018,202203,1380322,10,1203.1,1,602095,1,13,120647,14,2,10,1,100,0,0,1,17,0,0,0,0,9999999,0,"Lakeland-Winter Haven, FL","N/A (not applicable)"
"12829403",5165,18580,2022,2021,202203,6235157,25,243.4,5,176467,1,13,129709,33,1,29,1,100,0,0,6,63,0,0,0,0,91878,44,"Corpus Christi, TX","Other financial clerks"
"2901448",0,14460,2022,2022,202203,3112044,28,1691.7,3,4552402,1,13,211300,28,2,5,1,100,0,0,1,11,0,0,0,0,9999999,0,"Boston-Cambridge-Newton, MA-NH","N/A (not applicable)"
"6505051",20,39900,2022,2021,202203,3808900,27,4268.7,2,425417,2,22,86473,27,2,28,1,100,0,0,6,63,0,0,0,0,54046,68,"Reno, NV","General and operations managers"
"10459405",3740,19740,2022,2018,202203,1091495,27,653.6,4,2543482,1,13,140287,27,1,41,1,100,0,0,7,71,0,0,0,0,105215,37,"Denver-Aurora-Lakewood, CO","Firefighters"
"8017958",1021,47900,2022,2021,202203,6567655,7,4574,5,5636232,1,13,361889,7,2,52,1,100,0,0,11,114,24,2401,0,0,166244,65,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Software developers"
"7489894",630,25540,2022,2018,202203,1217305,10,2903.8,1,1212381,1,13,158992,11,1,71,1,100,0,0,7,71,0,0,0,0,105683,84,"Hartford-West Hartford-East Hartford, CT","Human resources workers"
"15624139",9720,31080,2022,2022,202203,970025,7,3518.3,1,12828837,1,13,166900,8,1,36,7,700,1,100,6,63,0,0,0,0,60000,8,"Los Angeles-Long Beach-Anaheim, CA","Refuse and recyclable material collectors"
"9828973",3255,36780,2022,2022,202203,6959888,8,1374.7,1,166994,1,13,93000,8,1,56,1,100,0,0,8,81,0,0,0,0,84000,46,"Oshkosh-Neenah, WI","Registered nurses"
"8642265",2040,0,2022,2021,202203,4689359,13,133.3,0,29045,1,12,14376,13,1,70,1,100,0,0,10,101,34,3401,0,0,14376,52,"Not in identifiable area","Clergy"
"11531342",4510,0,2022,2019,202203,5969362,30,88.6,0,108229,1,12,67745,30,2,31,1,100,0,0,7,71,0,0,0,0,67745,17,"Not in identifiable area","Hairdressers, hairstylists, and cosmetologists"
"7746589",800,41860,2022,2018,202203,390009,52,9186.2,1,4335391,2,22,374099,52,1,29,4,400,0,0,10,101,55,5501,0,0,116906,78,"San Francisco-Oakland-Hayward, CA","Accountants and auditors"
"15502309",9640,41740,2022,2021,202203,806683,11,9047.9,1,3095313,2,22,101606,11,1,20,7,700,1,100,6,63,0,0,0,0,34589,18,"San Diego-Carlsbad, CA","Packers and packagers, hand"
"12923765",5240,0,2022,2019,202203,3703331,20,16.3,0,19102,1,13,51670,20,2,52,3,399,0,0,8,81,0,0,0,0,51670,44,"Not in identifiable area","Customer service representatives"
"6140518",0,44700,2022,2019,202203,638023,44,5609.5,1,685306,2,22,15042,44,2,94,1,100,0,0,6,63,0,0,0,0,15042,0,"Stockton-Lodi, CA","N/A (not applicable)"
"9074248",2310,41740,2022,2020,202203,737610,19,3205.1,1,3095313,2,22,80453,28,2,28,7,700,1,100,10,101,34,3401,0,0,0,72,"San Diego-Carlsbad, CA","Elementary and middle school teachers"
"3277944",0,0,2022,2022,202203,3853895,3,100,0,155251,1,12,43000,3,1,17,1,100,0,0,4,40,0,0,0,0,0,0,"Not in identifiable area","N/A (not applicable)"
"11783089",4700,17900,2022,2021,202203,5625520,12,319.1,1,767598,1,12,47236,9,2,57,1,100,0,0,6,63,0,0,0,0,20537,68,"Columbia, SC","First-line supervisors of retail sales workers"
"7741994",800,16980,2022,2021,202203,2244867,18,2387.6,2,9461105,1,12,86581,17,2,58,1,100,0,0,10,101,62,6201,0,0,757,78,"Chicago-Naperville-Elgin, IL-IN-WI","Accountants and auditors"
"12893368",5240,21500,2022,2018,202203,5221554,16,569.9,1,280566,1,12,114334,15,2,57,1,100,0,0,8,81,0,0,0,0,70144,44,"Erie, PA","Customer service representatives"
"8247782",1360,12060,2022,2022,202203,1941346,23,3075.2,4,5286728,1,13,111000,23,1,32,1,100,0,0,11,114,24,2406,0,0,105000,84,"Atlanta-Sandy Springs-Roswell, GA","Civil engineers"
"6535501",20,16740,2022,2020,202203,4617237,16,293.7,6,676616,1,13,75580,16,1,66,1,100,0,0,7,71,0,0,0,0,75580,68,"Charlotte-Concord-Gastonia, NC-SC","General and operations managers"
"8238392",1360,41500,2022,2020,202203,697289,62,551.1,6,773149,1,13,153881,92,2,26,8,826,1,100,10,101,24,2400,0,0,95184,84,"Salinas, CA","Civil engineers"
"3998911",0,41620,2022,2021,202203,6399612,7,5696.8,4,1087873,1,13,127115,7,2,68,6,640,0,0,6,61,0,0,0,0,6594,0,"Salt Lake City, UT","N/A (not applicable)"
"6897401",220,17460,2022,2020,202203,4915488,16,331,1,2077240,1,13,183569,14,1,58,1,100,0,0,10,101,24,2406,0,0,69122,68,"Cleveland-Elyria, OH","Construction managers"
"2566649",0,0,2022,2020,202203,3250970,13,86.3,0,39966,1,12,24612,22,1,63,1,100,0,0,6,63,0,0,0,0,12238,0,"Not in identifiable area","N/A (not applicable)"
"12512501",4850,17140,2022,2022,202203,2715272,12,423.5,4,1036221,1,13,61100,12,2,59,1,100,0,0,7,71,0,0,0,0,36000,47,"Cincinnati, OH-KY-IN","Sales representatives, wholesale and manufacturing"
"13832967",6240,0,2022,2018,202203,5652819,15,50.4,0,14203,1,13,90485,13,1,55,1,100,0,0,6,64,0,0,0,0,75989,12,"Not in identifiable area","Carpet, floor, and tile installers and finishers"
"14584969",7905,35840,2022,2018,202203,1385374,18,854.4,1,702281,2,22,112347,24,1,23,1,100,0,0,7,71,0,0,0,0,23381,53,"North Port-Sarasota-Bradenton, FL","Computer numerically controlled tool operators and programmers"
"3170554",0,41540,2022,2019,202203,2899860,21,423.3,1,373802,1,13,462157,23,2,73,1,100,0,0,6,63,0,0,0,0,0,0,"Salisbury, MD-DE","N/A (not applicable)"
"9228732",2360,37980,2022,2021,202203,3987516,23,842.3,2,5965343,1,12,112372,20,1,16,1,100,0,0,5,50,0,0,0,0,1038,52,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Other teachers and instructors"
"6405250",10,41740,2022,2019,202203,618961,22,2956.2,1,3095313,2,22,459287,22,1,77,1,100,0,0,11,116,55,5501,55,5504,430581,68,"San Diego-Carlsbad, CA","Chief executives and legislators"
"7163176",440,0,2022,2022,202203,5199709,21,1677.9,0,157733,2,22,64000,21,1,58,1,100,0,0,11,114,62,6207,0,0,59000,68,"Not in identifiable area","Other managers"
"14406662",7420,31080,2022,2018,202203,465083,16,11264.4,1,12828837,2,22,136780,16,1,41,1,100,4,412,10,101,24,2408,0,0,107554,49,"Los Angeles-Long Beach-Anaheim, CA","Telecommunications line installers and repairers"
"6272569",0,35620,2022,2018,202203,4116801,8,30355.4,2,19567410,1,12,1870,8,2,60,1,100,0,0,8,81,0,0,0,0,0,0,"New York-Newark-Jersey City, NY-NJ-PA","N/A (not applicable)"
"13052314",5330,12060,2022,2018,202203,1794527,48,964.2,4,5286728,1,13,58453,47,2,54,2,200,0,0,7,71,0,0,0,0,58453,44,"Atlanta-Sandy Springs-Roswell, GA","Loan interviewers and clerks"
"3232393",0,0,2022,2022,202203,4704986,15,251.1,0,91530,1,13,86000,24,1,14,1,100,4,423,3,30,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"14327612",7330,17460,2022,2019,202203,4862903,12,2888.3,1,2077240,1,13,142149,12,1,48,2,200,0,0,7,71,0,0,0,0,97598,27,"Cleveland-Elyria, OH","Industrial and refractory machinery mechanics"
"2754226",0,27260,2022,2022,202203,1733277,17,216.6,4,1345596,1,13,85900,17,2,75,1,100,0,0,10,101,62,6200,0,0,36900,0,"Jacksonville, FL","N/A (not applicable)"
"5668222",0,30780,2022,2022,202203,335225,22,372.8,1,699712,1,12,126000,13,1,18,1,100,0,0,7,71,0,0,0,0,0,0,"Little Rock-North Little Rock-Conway, AR","N/A (not applicable)"
"6634086",110,19100,2022,2022,202203,6307122,9,4922.3,3,6426214,1,13,153800,8,2,62,1,100,0,0,10,101,62,6212,0,0,110000,68,"Dallas-Fort Worth-Arlington, TX","Computer and information systems managers"
"9831483",3255,37980,2022,2022,202203,5490791,69,1181.4,2,5965343,1,13,155000,69,2,33,1,100,0,0,10,101,61,6107,61,6105,80000,46,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Registered nurses"
"15066404",9130,0,2022,2019,202203,2014467,6,34.7,0,35454,1,13,115281,6,1,47,8,826,1,100,2,23,0,0,0,0,34447,15,"Not in identifiable area","Driver/sales workers and truck drivers"
"2784624",0,16980,2022,2018,202203,2091585,15,14727.8,2,9461105,2,22,77275,16,2,10,2,200,0,0,1,17,0,0,0,0,9999999,0,"Chicago-Naperville-Elgin, IL-IN-WI","N/A (not applicable)"
"13969891",6330,47900,2022,2018,202203,6470649,34,3668.6,5,5636232,2,22,39514,33,1,57,1,100,4,450,8,81,0,0,0,0,22680,18,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Drywall installers, ceiling tile installers, and tapers"
"12639171",5000,0,2022,2021,202203,1892902,6,63.7,0,26571,1,12,90126,8,2,50,1,100,0,0,10,101,23,2300,0,0,32211,68,"Not in identifiable area","First-line supervisors of office and administrative support workers"
"10827865",4030,0,2022,2018,202203,3698417,11,104.4,0,32907,1,12,128597,16,2,71,1,100,0,0,7,71,0,0,0,0,16834,15,"Not in identifiable area","Food preparation workers"
"3881810",0,29540,2022,2022,202203,5505855,55,4394.2,1,519445,1,13,142460,73,2,10,9,904,2,200,1,17,0,0,0,0,9999999,0,"Lancaster, PA","N/A (not applicable)"
"387639",0,33100,2022,2021,202203,1600840,16,5424,2,5564635,2,22,129709,16,2,25,1,100,0,0,11,114,52,5200,0,0,0,0,"Miami-Fort Lauderdale-West Palm Beach, FL","N/A (not applicable)"
"2945597",0,28940,2022,2021,202203,5782196,16,1397,6,837571,1,13,218344,19,1,1,1,100,0,0,0,1,0,0,0,0,9999999,0,"Knoxville, TN","N/A (not applicable)"
"11527129",4500,35620,2022,2019,202203,3930776,21,30296.2,2,19567410,2,22,48225,21,1,37,7,700,2,200,6,65,0,0,0,0,24113,17,"New York-Newark-Jersey City, NY-NJ-PA","Barbers"
"9796780",3255,26900,2022,2020,202203,2392217,3,699.2,1,1887877,1,13,106968,2,2,27,1,100,0,0,8,81,0,0,0,0,31728,46,"Indianapolis-Carmel-Anderson, IN","Registered nurses"
"12104241",4720,0,2022,2020,202203,3435169,68,280.6,0,47260,1,13,214390,58,2,18,1,100,0,0,5,50,0,0,0,0,1360,44,"Not in identifiable area","Cashiers"
"4459326",0,41860,2022,2018,202203,477303,80,7597.7,1,4335391,2,22,79262,78,2,10,1,100,1,100,2,22,0,0,0,0,9999999,0,"San Francisco-Oakland-Hayward, CA","N/A (not applicable)"
